grade,kor_name,eng_name,Abbreviation,synonym_1,synonym_2,synonym_3,synonym_4,synonym_5
1,바이러스성출혈열,Viral Hemorrhagic Fever,VHF,,,,,
1,에볼라바이러스병,Ebola Virus Disease,EVD,Ebola Hemorrhagic,에볼라 출혈열,,,
1,마버그열,Marburg Hemorrhagic Disease,,Marburg Virus,마버그 바이러스,마버그 출혈열,,
1,라싸열,Lassa Fever,,Lassa Virus,라싸 바이러스,,,
1,크리미안콩고출혈열,Crimean-Congo Hemorrhagic Fever,CCHF,Crimean Conggo Virus,크리미안콩고바이러스,,,
1,남아메리카출혈열,South American Hemorrhagic Fevers,SAHF,,남미출혈열,,,
1,아르헨티나출혈열,Argentine Hemorrhagic Fever,AHF,Junin Virus,후닌바이러스,,,
1,볼리비아출혈열,Bolivian Hemorrhagic Fever,BHF,Machupo Virus,마추포바이러스,,,
1,베네수엘라출혈열,Venezuelan Hemorrhagic Fever,VHF,Guanarito Virus,구아나리토바이러스,,,
1,브라질출혈열,Brazilian Hemorrhagic Fever,BzHF,Sabia Virus,사비아 바이러스,,,
1,리프트밸리열,Rift Valley Fever,RVF,,,,,
1,두창,Smallpox,,Variola Varus,천연두,,,
1,페스트,Plague,,Yersinia Pestis,흑사병,,,
1,탄저,Anthrax,,Bacillus Anthracis,탄저병,바실루스 안트라시스,,
1,보툴리눔독소증,Botulism,,Botulinum Intoxication,보툴리즘,,,
1,야토병,Tularemia,,Rabbit Fever,토끼열,야생토끼열,,
1,신종감염병증후군,Emerging Infectious Diseases,,,,,,
1,중증급성호흡기증후군,Severe Acute Respiratory Syndrome,SARS,,사스,,,
1,중동호흡기증후군,Middle East Respiratory Syndrome,MERS,,메르스,,,
1,동물인플루엔자 인체감염증,Human infection with Zoonotic Influenza,,,,,,
1,조류인플루엔자 인체감염증,Human infection with Avian Influenza,AI,,,,,
1,돼지인플루엔자 인체감염증,Human infection with Swine Influenza,SI,,,,,
1,신종인플루엔자,Novel Influenza,,,신종플루,,,
1,디프테리아,Diphtheria,,,,,,
1,니파바이러스 감염증,Nipah virus infection,,,,,,
2,결핵,Tuberculosis,TB,,폐결핵,,,
2,인수공통결핵,Zoonotic Tuberculosis,Zoonotic TB,Mycobacterium bovis,소결핵,,,
2,수두,Varicella,VZV,Chickenpox,Varicella-zoster virus ,수두 대상포진 바이러스,,
2,홍역,Measles,,Rubeola,,,,
2,콜레라,Cholera,,Vibrio cholerae,,,,
2,장티푸스,Typhoid fever,,Salmonella Typhi,,,,
2,파라티푸스,Paratyphoid Fever,,Salmonella Paratyphi,,,,
2,세균성이질,"Shigellosis, Bacillary Dysentery",,Shigella,,,,
2,장출혈성대장균감염증,Enterohemorrhagic Escherichia Coli,EHEC,,O157,,,
2,A형간염,Hepatitis A,HAV,Hepatitis A virus,HAV infection,,,
2,백일해,Pertussis,,Whooping Cough,페르투시스,후핑코프,,
2,유행성이하선염,Mumps,,,볼거리,멈프스,,
2,풍진,Rubella,,German Measles,독일홍역,3일홍역,루벨라,
2,폴리오,Polio,,Poliomyelitis,소아마비,회백수염,,
2,수막구균감염증,Meningococcal disease,,Neisseria meningitidis,수막염균,수막구균성 수막염,,
2,b형헤모필루스인플루엔자,Haemophilus influenzae type b,hib,,b형 헤모필루스균,hib 감염,,
2,폐렴구균감염증,Pneumococcal Disease,,Streptococcus pneumoniae,폐렴구균,폐렴사슬알균,폐렴연쇄구균,
2,한센병,Hansen's Disease,,Leprosy,Lepra,문둥병,나균,레프라
2,성홍열,Scarlet fever,,Scarlatina,세균성 인후염,A군 연쇄상구균,,
2,반코마이신내성황색포도알균 감염증,Vancomycin-Resistant Staphylococcus aureus,VRSA,,반코마이신내성포도상구균,,,
2,카바페넴내성장내세균목 감염증,Carbapenem-Resistant Enterobacterales,CRE,,카바페넴내성장내세균,,,
2,E형간염,Hepatitis E,HEV,Hepatitis E virus,HEV infection,,,
3,파상풍,Tetanus,,,,,,
3,B형간염,Hepatitis B,HBV,Hepatitis B virus,B형 간염 바이러스,,,
3,일본뇌염,Japanese encephalitis,JE,,,,,
3,C형간염,Hepatitis C,HCV,Hepatitis C virus,C형 간염 바이러스,,,
3,말라리아,Malaria,,,초기증,방열,진흙열,학질
3,레지오넬라증,Legionellosis,Legionella infection,Pontiac fever,폰티악열,재향군인병,Legionella pneumonia,
3,비브리오패혈증,Vibrio vulnificus sepsis,vibrio infection,,,,,
3,발진티푸스,Epidemic typhus,,,,,,
3,발진열,Murine typhus,,Phlegra,피레그마,열대열,,
3,쯔쯔가무시증,scrub typhus,,tsutsugamushi disease,털진드기열,덤블티푸스,진드기 티푸스,
3,렙토스피라증,Leptospirosis,,,렙토스피로시스,렙토스피라 모노사이토겐증,,
3,브루셀라증,Brucellosis,,Malta fever,브루셀증,파상열,몰타열,
3,공수병,Rabies,,,광견병,레이비즈,,
3,신증후군출혈열,hemorrhagic fever with renal syndrome,HFRS,Hantavirus,한타바이러스,Hantaan virus,Seoul virus,
3,후천성면역결핍증,Acquired Immunodeficiency Syndrome,AIDS,HIV,HIV infection,인간면역결핍 바이러스,에이즈,
3,크로이츠펠트 야콥병 및 변종크로이츠펠트 야콥병,Creutzfeldt Jakob Disease,CJD,CJD-vCJD,,,,
3,황열,Yellow Fever,,,,,,
3,뎅기열,Dengue Fever,DF,,,,,
